file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
10178028.exe,253243869,284609,156557236,696120,155117656,702831,189311,2826336,499241522,117955,248222981,42016,106426,776788899,128,1.52,0.09,167401721,137942000,28987000,217693836
1349457.exe,248722522,265309,153976258,636660,153968922,635202,143725,2129002,508351000,114453,249530730,310459,106069,766008060,130,1.64,0.07,137743141,100345000,37127000,151786125
1563740.exe,249352034,265771,154921734,685929,155066233,683012,152849,2158141,503729375,114154,250304116,36166,105124,771263549,130,1.63,0.07,136701432,108332000,28086000,150831617
1600646.exe,247553131,295361,154038073,699361,153929600,694178,138544,2123016,503469619,114296,248864440,17270,104945,766496820,129,1.61,0.07,136248339,113909000,21982000,150478560
1607191.exe,7136353,347585,5770616,155867,6579032,163402,131571,593314,29019036,3248,8341325,4196,1923,48756854,591,0.08,0.0,7603668,5286000,2114000,21733250
1873684.exe,92829843,250656,61844938,372257,61797382,366177,137303,1592521,345862541,110719,93281522,302981,104355,324553315,135,1.03,0.05,93767305,63376000,30179000,107756475
1931123.exe,248339367,313915,154102436,690609,154141752,688611,143760,2088869,502431653,113711,248094902,10571,496820,764083763,130,1.62,0.07,135973592,104561000,31167000,150040786
2160567.exe,248216383,276076,153641131,642315,153634593,638977,128199,2109175,502813155,114268,249918166,9755,105202,769696901,130,1.63,0.07,136486799,104157000,32048000,150591839
2351086.exe,70127105,178975,45218042,229677,45220149,229661,138313,859599,96408147,5238,71485701,2612,1352,245690298,141,0.33,0.01,26596474,24266000,2022000,40473551
346060.exe,67387433,220158,44810679,182155,44823077,181964,131175,788564,97613791,3653,71871248,2527,1521,245427320,135,0.32,0.01,25891701,23664000,1972000,40256179
3943646.exe,93176386,244493,61792913,437666,61792684,432952,138175,1675840,346581414,111161,93688405,307505,104603,323992338,133,1.03,0.05,94151183,61872000,31934000,108249738
3985410.exe,69959772,185320,44964029,184747,44750315,184478,138851,869097,95685052,4104,71661873,2208,1604,246054264,134,0.32,0.01,26202403,23969000,1917000,40238867
4158466.exe,250211923,302827,154585151,637116,154619643,638502,158645,2131806,511509956,114326,252669315,307182,105159,769366508,129,1.62,0.07,138069402,103789000,33931000,152279412
5293957.exe,245953875,294456,153600798,637091,153614026,636523,159743,2136438,507587904,114720,247639649,10589,544053,764428005,129,1.6,0.07,137646115,101477000,35815000,151733033
5904708.exe,251647891,259528,154540839,645372,154516614,647973,161963,2242419,511758995,114588,252589467,307575,105594,769981121,130,1.62,0.07,138498877,108341000,29818000,152740401
6138905.exe,67396393,213118,44736881,178962,44742571,179685,133356,782609,97309187,3644,71850760,2257,1551,246360506,136,0.31,0.01,26246041,24917000,996000,40108899
6967734.exe,250637708,296344,154589626,677186,154986462,673623,157091,2204430,504995768,115113,252484464,18900,105695,769919384,127,1.61,0.07,135447175,109112000,26026000,149591529
7693072.exe,90929848,253836,61343834,425805,61291692,421191,129015,1607372,345921109,110644,91499497,308251,104631,319169017,133,1.04,0.05,93533551,70241000,23079000,107583169
7841352.exe,250658234,297753,154838880,635433,154820305,637734,150862,2145394,509607314,113853,252286082,306676,104828,767964632,130,1.63,0.07,137680742,103293000,34097000,151714174
8026156.exe,93090105,290526,62014714,426453,62265956,420413,144095,1593202,346864527,110980,93535513,304674,104051,324124981,133,1.03,0.05,93557574,64112000,29050000,107624098
