file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1009412.exe,111752105,535970,63574407,118882,64222876,117084,161156,606809,191035631,45730,109295873,66,10760,356373418,1957,1.33,1.08,63688588,58087000,5007000,114275585
1054386.exe,99551311,532573,60615690,115282,59475589,113319,165457,554996,172476228,87668,96596197,432,14927,328991279,2605,1.22,1.0,53722263,45526000,7917000,74543017
1055671.exe,289905060,1061482,156125926,232389,154157874,228785,316626,1162777,501771698,98731,288533590,199,38345,902126560,3482,3.6,3.0,150363317,145093000,5003000,170377434
1064013.exe,193507674,787597,98997834,169837,103143197,163738,202801,761665,323235690,80132,195644629,75,20501,592363546,2606,2.29,1.87,97838193,92504000,4973000,117855036
1163493.exe,225718197,712912,117421270,171356,115438122,170697,219458,890038,393959178,74299,222819171,1712,17514,682639863,2606,2.8,2.32,118506375,116179000,2003000,138368493
1449114.exe,244968133,1196545,136301849,197534,137092596,195040,338617,1069607,427444795,139549,241145972,752,34312,768554795,3676,3.17,2.66,125034117,120771000,4025000,145375113
1472098.exe,218930916,1046308,120258737,192357,120510750,197829,311471,1087202,394841202,124628,212491644,5070,37968,690504003,3552,2.9,2.42,116617243,109332000,7021000,137543331
1488692.exe,101627803,619671,60412957,123217,61277777,122775,194198,627054,171261115,90383,96591950,34,17257,330517001,2544,1.24,1.01,54573592,53143000,1002000,75060562
1523561.exe,158518624,573467,80088191,145996,79230743,146449,209529,679042,265728005,79594,152908080,93,11918,484035661,1957,1.89,1.57,80612803,74383000,5950000,101331988
1581847.exe,99093726,594012,55762335,99611,54509635,107304,205663,586867,160526278,96455,91442047,80,10543,325095499,2152,1.15,0.96,47276530,41918000,4990000,67647515
1677942.exe,160294643,408927,94265577,121478,90063976,132487,176844,669058,250388963,77844,150763682,207,12751,499449360,2047,1.8,1.5,73517443,71305000,2008000,93567520
1696369.exe,190080934,1198369,106226150,174104,106400653,169737,293819,1008882,348936933,116925,186646157,210,44549,612727815,4134,2.52,2.09,106249441,97056000,8913000,126535037
1890375.exe,276548198,2350016,160088343,251267,161196330,253618,853829,1832561,604556397,285754,285180299,396,80457,925861148,12497,4.23,3.52,176292618,157154000,18898000,196716342
1930790.exe,172215425,592132,98332682,141514,94780429,148595,197018,710006,285075743,66430,168953217,59,16440,536638434,2245,2.02,1.67,87812299,77488000,9934000,108124068
2014155.exe,205517644,1347964,115799427,181132,115779973,186642,358219,1110795,384615603,123366,202862402,1549,44466,663179956,4820,2.79,2.31,117243400,109766000,7049000,137880090
2082270.exe,155676046,403177,91588615,132430,90645441,135371,163452,644492,238307928,85921,143347628,63,18564,464691767,1951,1.72,1.42,73709637,68463000,5034000,93527362
212989.exe,112806617,648284,64425556,117312,63431430,123821,189686,607575,198405264,63352,110370263,190,20627,354650619,2604,1.4,1.15,61244887,58010000,2949000,82856690
2136822.exe,189881518,957397,107193943,165328,107468732,168395,293061,963482,342798430,116420,184225687,215,37397,610203936,3489,2.46,2.04,103861551,96557000,7040000,124962297
2209249.exe,100069812,545053,60515545,114527,59593516,116893,173452,596109,182971978,68453,98204645,30,13120,331189572,2153,1.31,1.08,55207135,50091000,4910000,75072844
2218845.exe,147551086,610785,86382147,125914,86327957,131384,183319,702899,238756998,80759,141523101,671,21362,445744486,2597,1.7,1.4,73499589,70148000,3006000,94030997
