file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1016334.exe,465620832,5285006,261652081,2891465,261105406,2926259,860515,4860336,1096881251,1032132,461421500,4637,52815,1443026277,3385,7.65,6.37,321828746,309304000,11934000,374611329
1135440.exe,499616180,5267583,281293142,3141580,280111819,3157201,762206,4801304,1171078983,1028363,497888347,598,44191,1564158020,2479,8.22,6.82,346672614,342357000,4004000,367083458
1147117.exe,544311675,6193763,301732634,3017074,300663379,3002206,860175,5456983,1222400342,998328,544662803,1192,50636,1641903561,2870,8.58,7.13,362629552,352391000,9982000,382510548
1199099.exe,424404277,5150851,239847666,2865286,239590920,2869245,715782,4405183,1022306530,974606,425870187,214,48150,1306926757,2477,7.14,5.95,299236285,289019000,9966000,319616918
1379278.exe,559288571,6064009,326967069,3497277,327193001,3501359,844444,5761963,1573147063,3192634,559788140,2065,542489,1744164396,2477,11.11,9.24,460354896,403954000,55993000,481722646
1400532.exe,650659166,5331172,374193253,3157154,373907028,3141930,798908,4962787,1315683447,1017784,650557684,182,51341,1961498058,2669,9.22,7.67,387455214,379079000,8001000,407616907
1604299.exe,767470703,12705024,460895197,5233612,459650621,5242402,3480435,10087052,2132718624,5383758,768431376,36566,1639440,2400502890,19541,13.6,11.48,511845157,439363000,72059000,532675524
1749177.exe,571581425,6244401,333078408,3968842,334123494,4073106,1219581,6289321,1682464480,3438678,574356617,8817,1040783,1778954591,3409,11.56,9.61,487191311,432984000,53998000,507680687
1779544.exe,701646960,5497049,408912124,4095341,408518471,4079303,834437,5537786,1823410570,3415230,702667382,767,1050062,2140342578,2473,12.75,10.61,536800148,481457000,55052000,558029736
1817867.exe,712243052,5456775,412510020,3651744,412862092,3655675,869514,5490954,1714978929,3982080,712034921,1091,281498,2153585375,2667,11.95,9.94,505933242,449676000,55959000,526157419
1963979.exe,656518559,5349685,377155944,3143113,377191806,3140401,815259,5040466,1331216325,1022888,655849272,815,73238,1974518923,2668,9.4,7.83,394369074,389081000,5001000,415148906
2024525.exe,447638569,5164052,256079566,2920730,255762248,2946365,761924,4626780,1131556098,985249,448042470,781,49138,1396710465,2481,7.95,6.62,332776201,325494000,6989000,354166641
