file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
1149166.exe,143555,37098582,18615186,500683,10724,62885,18287,47139,59617874,136704,48952955,113730,88258,1132130,51192289,4620,31444278,2692,17267612,526,1585,4322,122835949,29378991,25947000,2993000,91469797
1659823.exe,28530,1523111,756278,161012,4449,22782,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,134,<not counted>,<not counted>,<not counted>,1662548,1443000,0,16035040
1716934.exe,68287,1530246,777588,165298,4663,23093,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,135,<not counted>,<not counted>,<not counted>,1733956,1458000,0,16023765
1793587.exe,33661,980975,781770,163862,4492,23296,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,883004,304,109444,0,93520,135,919,298,732365,1737486,725000,725000,15895348
1995279.exe,596284,10899871,5870706,729399,14713,62188,3110,16206,28686050,12985,28652969,12888,56643,716288,52996018,3182,32484675,413,16021745,917,2194,2103,109477129,14389383,12076000,2012000,28682147
2012602.exe,247132,90098481,46211488,673025,13912,69153,37630,66438,83245693,139991,75332800,123656,109505,1212944,115550923,6986,93229425,7232,51288507,1035,2916,11102,286452730,31326265,30055000,969000,45739894
2099466.exe,73417,84749936,41362061,606709,11683,67891,5935,19201,51757495,32155,53481735,28479,33535,546934,100202871,2762,92641238,279,48013235,520,1123,8273,266471443,27124798,24916000,1916000,41350313
2230190.exe,4163487,68544244,29717012,1198167,15588,145843,130713,155678,57647491,360921,53946242,370831,651284,1731780,197136198,11369,71811878,17737,29604022,2479,4151,13966,241946058,53057620,44481000,7907000,67287877
232374.exe,615440,33108113,10931666,721214,19538,83856,78383,52877,31966619,17187,30919735,20351,97155,728001,67492790,4249,47215652,1417,8859235,1042,1639,1125,138101630,17903895,13685000,3910000,31929230
2353585.exe,173164,7620693,4726003,674346,11490,48076,1416,10688,24994763,11381,24967827,13251,51682,418235,43263644,3128,34375706,655,13369508,524,10424,<not counted>,<not counted>,11367371,9088000,2019000,25295654
2430690.exe,32452,1279307,740727,155219,4313,22413,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,129,<not counted>,<not counted>,<not counted>,1708349,1417000,0,15732038
2545079.exe,406681,14390243,7080141,781588,15527,72745,35673,60714,29471288,16675,28510598,14581,54281,513427,56919445,4350,35481913,1243,18789457,784,2392,1964,121554605,14974714,13633000,1048000,29132420
2745668.exe,444738,91403861,47720589,772179,18632,92850,72349,118058,82488064,108354,79458548,127814,188037,1954522,120383948,7833,93211453,12310,50512151,1940,10668,15893,291813130,32744649,32437000,0,46982531
2764661.exe,94911,91446674,45430219,542337,12640,64910,2221,14215,73567459,124440,70787575,101880,60957,952544,111547064,5604,103326587,262,53962775,521,1128,5941,299411809,30071806,28730000,1026000,44172671
2939537.exe,483334,6756810,7834027,625137,16339,64006,42403,50930,26536867,14152,26235657,14736,52747,448467,52332513,3169,29831414,1267,14965827,525,2059,3083,111586807,13861502,12560000,1046000,28061358
