file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
120780.exe,304319,2202188,1533810,2401915,19370,183396,32545,120643,20018997,260178,20263258,249014,73011,3768446,982310663,29254,2273510,2403,1283234,133,7604,4008,221877218,293122729,289668000,2996000,353495703
1230547.exe,61377,1652848,1067822,566498,5976,49187,4125,24221,5410188,107876,5430243,95951,35968,739471,181548269,5432,574602,448,240292,66,1130,550,123291022,49399107,49112000,0,63675832
1231818.exe,79399,3678449,2111424,689506,12135,78155,4291,15149,1998229,27786,2031215,28220,9179,528656,152337699,4056,312699,339,174247,128,1700,1221,138352052,41211890,38898000,1994000,55075884
1290864.exe,52126,3189928,1693826,477536,8800,49255,3032,17545,4181357,55761,3685412,46337,36526,603017,97901440,4879,241422,242,128873,129,664,253,108744954,29456331,27242000,1945000,43781049
1318308.exe,93141,2048102,2088814,826056,12302,84917,6092,28162,2297309,44629,2219249,42923,20385,810184,237957226,6149,437631,520,265462,133,1446,614,229185695,64697778,62335000,1978000,78875574
1340102.exe,155191,1926815,2148441,1321253,13910,118282,8525,53522,19886672,85068,19843179,83544,24991,1679057,496294775,13622,992833,1099,580499,133,3213,1777,314078636,134337500,133054000,1000000,148612543
1751912.exe,162675,33434830,32716184,1361003,15977,121410,9194,54415,62493696,88982,62742709,103881,43101,1966551,523812934,16525,32644092,1436,31788950,136,3767,2007,562201353,142142284,141773000,0,156395050
1920040.exe,144076,2906893,2776236,933603,15151,84150,2668,19953,4477384,63591,4451110,66711,17756,530793,152828687,4017,309344,333,665703,191,3031,3799,88023449,41064049,39089000,1653000,55316641
1983458.exe,516421,6706470,3881307,3341744,25529,253654,25003,148614,210073875,234960,210104858,233326,52829,4873066,1445724286,37459,2576330,3333,1988771,127,10752,5381,1992911233,391487275,390130000,1000000,405861727
2079662.exe,179001,3849252,2065166,1264802,15491,117292,9063,51335,3194164,79804,3178649,87023,41860,1740036,505255767,13327,996136,1159,629805,134,3246,1401,72080694,136495486,135201000,1001000,150625282
2095380.exe,62749,1890524,1749785,648023,10341,72234,7360,21733,2028429,37912,2051909,37124,9914,675762,180023317,4817,358439,401,209855,137,1259,619,140816795,48952742,48624000,0,63343398
2118492.exe,1501073,45837546,26038842,4253050,26806,316649,7844,43987,50878549,72305,50999256,90122,74715,1676268,442930728,13729,1712585,1623,5442680,132,16933,38900,836482034,120318532,118995000,999000,134636758
2133666.exe,448867,6288422,3703572,3172133,22193,236476,25125,154848,210699400,237737,210622498,245493,88801,4871894,1447754112,37571,3539951,3479,2418385,130,9653,5093,1992974766,390538031,388197000,1995000,404858971
214531.exe,136243,4342646,2101795,593772,10798,60638,2337,13217,1071138,21917,1251848,24960,25951,484231,135174069,5584,966742,527,521658,135,1912,1515,32396619,36068023,34764000,993000,50266510
2167825.exe,39256,2394918,1779492,458890,10120,52809,2513,18619,4146052,68015,3853948,119447,23385,516507,103278340,2823,234210,230,124055,133,706,345,79933000,27936423,27608000,0,42030337
2270454.exe,56451,1891661,1902259,528586,11244,67237,3037,13130,2172794,18860,2117302,17651,13954,315257,69839070,2149,174781,170,93182,132,489,231,88611845,21079627,18920000,1892000,35310200
2279764.exe,174768,3974178,2182772,1196503,15398,104888,7746,50629,5298294,195455,5777152,169807,42129,1689394,440105049,13369,1352037,991,501506,134,2927,1779,75846309,119415836,118136000,1001000,133499066
2282083.exe,367785,71712361,69538383,2673473,21855,210971,20816,121526,129145496,192730,129217297,193478,39809,4002355,1195583150,33861,69965381,2824,68921123,128,8555,5196,1638610444,323046544,321717000,999000,337163172
2344548.exe,100543,4026538,1986921,504542,14002,58564,3531,14919,3047561,42404,2633399,37230,44326,606896,108890827,5247,247198,245,127223,132,721,256,92398005,29774987,28376000,978000,44091363
2373932.exe,438692,5926592,3364117,3142225,22394,234968,27015,144315,210610766,233357,210470498,231771,46031,4685431,1448191163,37929,2646886,3350,1906848,127,10369,5605,1990620949,390678131,388401000,1996000,404979140
247789.exe,144110,9714272,3870548,582877,13757,55639,956,6856,1091136,11214,1078284,10924,3652,199773,53669711,2683,588572,296,485840,133,1681,2767,64716287,14183035,12863000,1071000,28365435
2513196.exe,98313,3266740,1627805,598392,9783,72225,8478,17945,1997546,31639,2021194,31660,7053,646222,178707579,5013,389143,419,238228,128,1234,687,146593543,48318783,47046000,1000000,62578554
2674105.exe,124359,1939662,2047839,1155935,14071,101985,8041,54967,6270586,175243,5902410,155800,43107,1634423,429913494,11237,760755,938,497032,133,2854,1302,68443922,116338921,114960000,999000,130568780
2708553.exe,459535,6633638,4079981,3189381,30049,257188,28910,146100,210486808,236205,210644672,237416,117548,4922132,1451130944,38716,2903882,3333,1805469,129,11142,5879,1992064949,392853281,391393000,998000,407038928
303419.exe,46706,2999837,1905811,505472,10172,54331,1953,12384,4054088,84893,3857595,83084,25197,583883,110312857,5358,220008,246,162725,135,762,361,92209178,29799551,29404000,0,43993299
3104536.exe,67561,3431576,1913355,521470,12779,67943,1423,9592,2755100,16283,2783022,108916,4542,284453,78722169,2075,147181,174,89422,133,484,154,81150343,21200106,19921000,996000,35204819
3163004.exe,59673,1838584,1805289,615682,11443,70587,4734,18025,2020631,31299,2035906,30703,7970,600085,179293563,4668,337322,388,194517,128,1077,384,110349910,48192697,47891000,0,62454020
3231389.exe,217708,6488412,3527619,1776037,18271,141976,12629,72398,107430680,119413,107349819,119597,25951,2393267,712436650,18083,3848947,1562,1922089,130,5360,3008,1099263601,193733072,193422000,0,207961691
3388688.exe,120227,4126304,2205861,839183,15355,82989,4082,22910,2341552,40159,2380500,38960,10891,753248,225767226,5839,435499,639,543539,133,2142,1307,49266121,61032158,58737000,1991000,75206815
