nome,slopes,lincoeff
1071,0.02108939205636014,0
1082,0.01989715822117875,0
1084,0.020559176615417018,0
1091,0.021055806932855647,0
1131,0.020467861034932727,0
1132,0.02063131319284761,0
1140,0.02120885787193489,0
1158,0.022644418225622222,0
1190,0.022105048975368767,0
1192,0.020857658758890174,0
1195,0.020731991365519772,0
1197,0.022232770765957185,0
1619,0.020498431362044704,0
1621,0.020272749670924885,0
1628,0.020201568541956753,0
1632,0.02063781881656789,0
1634,0.021254440442251,0
1635,0.019843572679234228,0
1636,0.021648645812145536,0
1639,0.022818020075340385,0
1640,0.0201224348935573,0
1642,0.020068667029412214,0
1643,0.020039131336096506,0
1666,0.020599536226159607,0
1667,0.02083185646949317,0
1668,0.02078126679903968,0
1669,0.02062239282988391,0
1671,0.02114827955376813,0
1672,0.021892222093195673,0
1674,0.020876737256727163,0
2166,0.02206203777063055,0
2185,0.021385493695509405,0
