@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
507044616,764432376,895000,135689,153986804,757067,128,154253875,762514,248612869,421182,141118338,885149,218310,?,103563,?,253841316,1096767,141447979,106709,7,250957,130533000,16939000,0
497680565,767056895,868110,141761,156867926,709374,714,156546905,711268,246737953,477878,141019452,666711,193666,?,97264,?,250191798,1288371,142900971,109873,0,10389,123610000,23924000,0
492965231,759955757,780377,108114,153620232,735495,127,153726939,733666,247089580,357300,140682831,758001,179707,?,54276,?,253662747,1056326,141468013,106676,5,52357,124193000,24037000,0
490242330,759815137,802950,105951,154301656,714634,128,154171671,722292,246699183,359463,140660596,782399,186998,?,55047,?,252781706,1174031,141405582,106489,0,9646,112679000,33903000,0
505848037,760771037,841611,111325,154597027,928303,130,154939622,925197,246102815,367605,140112765,775928,185448,?,54604,?,248468786,867522,140797239,105823,23,410783,117369000,30094000,0
507294652,759584033,846108,116045,153617369,922061,128,153285377,923552,244294835,353417,140803345,793303,189036,?,57504,?,250693141,1261371,141554397,106985,357,306504,127018000,24003000,0
102822269,218412426,426493,64016,42253960,229317,133,43054691,223901,63935095,224772,32370955,134167,82955,?,13216,?,72424816,13796,32567997,1991,39,6232,33256000,1007000,0
282735063,322687712,586631,90345,61909617,477643,134,61139701,482383,90708523,306605,50373046,335560,135475,?,33871,?,94854245,1107972,51789639,107014,2355,59193,59753000,25319000,0
509380451,763305948,864185,115549,154651094,974939,131,154574107,978941,246064555,355044,140624320,851622,190503,?,56472,?,250736150,1327594,141420434,106605,5,385664,119399000,29849000,0
545673431,784348491,1453849,232864,157031264,993089,279,153548572,951003,244255854,369448,140636198,799175,179174,?,56984,?,250793086,1063142,144411522,112196,8007,293066,119265000,32798000,0
496275343,759215878,840398,113040,154317401,930736,128,153737468,939747,245484704,562445,140408918,831261,196832,?,59660,?,250691806,956632,140867823,106098,31,254186,128326000,17043000,0
19787192,18115687,381749,63759,5807159,175799,591,6424884,179954,7913581,182626,4771871,164761,139381,?,43249,?,8606889,24507,5068911,5715,295,?,10463000,0,0
98145769,215797666,419769,90132,45189991,234859,330,43516568,213042,61009208,245517,32569007,115692,70654,?,14965,?,67605297,15254,32699245,2003,67,5780,30999000,1999000,0
106410046,221059568,384292,63773,41550288,228926,134,42705362,222299,63734571,235826,32225991,128650,82540,?,13278,?,71820073,15454,32339646,1973,314,6436,31051000,2003000,0
107392197,224953009,399323,67408,41023401,245534,135,42331224,238276,63269471,246907,32141103,142522,88153,?,13593,?,72452857,11544,32584082,2032,272,5788,34369000,1010000,0
497739245,766855272,775545,106409,154990213,766858,129,154605201,771551,247117030,369268,139607442,790529,194051,?,55728,?,252180126,1315397,141260357,106468,299,20110,125108000,22019000,0
121227088,272707797,415756,70695,54298635,219795,133,53801777,218954,52427814,229098,36322956,179564,86290,?,14671,?,59531677,17969,37181810,2140,7,4903,37114000,1953000,0
499795243,760808884,834566,110320,153851679,970960,128,153648848,967189,244921199,459336,140627185,782157,183687,?,54259,?,250072164,1233688,141051927,106536,83,220950,123907000,26979000,0
279953809,325993490,528746,76396,62402906,428258,135,61531013,425679,90950898,302826,49915237,335297,132341,?,30593,?,93823258,1365240,51326190,106271,1376,21475,55928000,27964000,0
505895846,755888059,837580,108409,153684271,922838,128,153608807,921589,245371582,402639,141011862,821749,183151,?,57653,?,250057532,1126034,140921994,106463,113,434270,127598000,24921000,0
502346351,762669783,873767,118414,154156280,933717,130,153521513,920419,244133150,345567,140531112,810139,184920,?,55591,?,249748513,1310835,141447953,107036,386,252213,120392000,29849000,0
501618464,759207646,806937,106691,154362828,712970,129,153958624,710383,247636604,350280,141721932,816486,192078,?,55353,?,254005175,1135070,141706149,106648,52,182625,123279000,27061000,0
509644126,759170372,826197,105352,153027241,1002372,127,153129460,1006685,245079179,352636,141093287,756347,181348,?,55050,?,251865633,1443746,142191990,107121,498,337820,125754000,21957000,0
497068980,762273833,804371,107061,153927591,912710,128,153276809,913791,244086619,355173,139973010,769177,187828,?,54741,?,249634471,1330175,141209122,106439,26,215583,123012000,26002000,0
111778426,233867746,387302,65729,44303894,294869,140,43964447,294700,63642762,276806,31853799,160977,86634,?,15617,?,71013321,9441,32219807,1635,0,3946,36923000,2993000,0
498508591,769804216,844478,120436,154827501,722804,128,154342907,725368,246535580,362609,139362040,754898,180112,?,54061,?,252553437,1274723,141749874,106944,196,16373,122217000,25044000,0
305218765,336439231,638885,163129,64247405,765529,1891,63410203,753675,93559294,547931,55716663,419705,546702,?,89601,?,98739120,1622496,53633437,107999,1783,121755,65677000,26271000,0
515780193,760653337,916642,121753,153868180,929413,127,153586067,927697,245149121,380227,140594124,821089,194171,?,60846,?,250301809,1250408,141277491,106830,205795,217203,126396000,27084000,0
490875187,763759339,820549,113473,154320581,707482,127,154056398,717893,246098772,359103,140007978,729815,180698,?,53845,?,252741513,1342158,141955984,106926,296,10578,126456000,19914000,0
509840208,764315080,770805,111623,154181939,716860,129,153775432,721711,247247763,374343,139900601,807161,196337,?,55774,?,253944273,1135411,141345675,106818,37,81252,126818000,21136000,0
284711016,320959805,558259,82724,62511626,519205,136,62149036,521720,90517049,303484,51021761,335499,137689,?,33836,?,92767451,1108194,52244250,106531,722,160571,58611000,27815000,0
102814875,218291034,351246,58360,43826112,223558,136,44541703,218862,66038902,206334,32364007,154310,96162,?,14847,?,69201712,14074,30950146,1945,56,4164,28969000,1997000,0
