file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1141757.exe,112801482,568596,81577238,1596459,80870584,1514263,172352,686980,183546052,43081,110934590,424,7759,365606256,524,1.24,1.0,60318557,56642000,3034000,107280162
1194834.exe,115224868,5523509,121168748,2730920,122089495,2743716,1104305,3998694,508327704,1424639,116198965,5757,31822,521928424,3258,3.34,2.72,152990862,142647000,9975000,173815552
1334614.exe,112143517,527906,79132925,1614779,78345399,1621363,112337,515772,181452169,34881,114770170,0,4486,369963438,524,1.24,1.02,56832618,54535000,2019000,78360958
1369810.exe,115942628,994459,83042942,1679226,83545074,1557130,159722,730248,198215745,85670,112676761,179,17839,365092610,1943,1.39,1.14,62632803,57277000,5024000,84224353
1376527.exe,158432518,3366159,104617329,2085168,103412476,2096536,1178117,2230348,358496573,538688,160952426,15855,214630,531207707,6468,1.83,1.6,54596478,51393000,2964000,76431358
1394267.exe,18060409,581561,20126562,1523780,18935984,1538473,93497,349922,77062503,27959,15707204,32,2698,141889773,516,0.53,0.42,26078895,23683000,2059000,46787045
1578565.exe,135280342,771736,84461040,1727159,81193747,1705439,147806,578866,197040367,57377,132594052,2,4795,420281126,914,1.45,1.21,58844693,54449000,3959000,80980246
1702636.exe,117473928,923239,83496521,1561759,80561094,1566407,164928,718038,192981505,78430,109056360,219,12070,373836467,1946,1.36,1.11,60098328,50731000,8952000,80248498
1828655.exe,423907189,670564,264227985,2140131,263213875,2088070,182908,1018654,599810211,49742,423432506,79,13816,1235695861,520,4.26,3.54,177650406,175092000,1989000,199413402
1993016.exe,128851357,1258825,90820913,1780029,85399325,1811248,253314,1047895,217099417,102005,124522258,50,9352,450913073,1695,1.55,1.29,63431695,58948000,3996000,84406481
200463.exe,431320319,695318,272408312,2211045,273342978,2000947,195019,1071117,612643452,55524,436932035,221,13132,1279791870,519,4.4,3.66,182411349,178993000,2999000,204287169
215691.exe,102382215,567270,109118235,1442653,111315783,1437524,123871,578342,236526207,34150,101367933,0,8548,457831934,520,1.64,1.37,68800084,62607000,5869000,88192139
2182933.exe,117569781,520518,81701880,1594840,79986186,1613241,116191,595615,185302367,48020,112682697,1,7985,376132207,1040,1.28,1.04,58794055,55483000,3026000,80598728
2283561.exe,121102181,577237,87883269,1557792,84579981,1574101,245291,824524,196126482,89690,107626305,82,14456,374757759,2213,1.35,1.1,61495612,55188000,6020000,81654558
2317321.exe,115107920,508686,80951949,1538110,79251468,1544687,115886,524303,179843511,32452,110347500,28,5413,371254743,525,1.27,1.04,56570808,52257000,4019000,77363342
2473888.exe,443255831,999118,271896294,2309760,271118854,2301376,201264,1111889,621486930,60436,447243967,26,16463,1274637101,910,4.35,3.61,185814033,182420000,3006000,206024696
2557813.exe,120426874,672611,82460279,1705187,82555834,1708387,121955,556756,199511034,32495,133078223,5,11068,414501460,1043,1.4,1.16,58489296,55175000,3009000,79679228
2649544.exe,122987544,478605,84574132,1694657,82496954,1705436,113428,515458,195173127,36706,120079891,117,7029,427295651,526,1.35,1.11,60798992,58453000,1948000,82085445
2700229.exe,423942437,675650,264994943,2194885,264027631,2082975,177643,1055659,599526851,55052,422768567,325,15109,1232652762,520,4.24,3.53,178888937,176695000,1996000,199362527
2870679.exe,115487012,863824,80282665,1550382,77960253,1557873,156452,591192,187850963,53067,113833160,27,4549,380351344,915,1.31,1.08,56857175,54296000,2010000,77493270
