file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
1289148.exe,283841,277030754,145739598,1548920,26897,166040,51752,94459,162604190,540458,163309519,541077,110914,2297369,510531734,116934,269610001,1297,144537423,129,107645,218850,846513565,158313684,117810000,39935000,224359354
1751629.exe,163783,66630886,29872692,453191,20707,82391,1814,15631,52388335,24249,52311681,24404,55992,483066,97740889,3678,75895775,224,33372054,135,1239,3343,261064261,26008403,22747000,2967000,40371279
2160567.exe,258872,263620367,141236843,1359752,27795,140922,9289,58450,164508531,572257,165343135,573850,123855,2133096,516582685,116394,267426284,1162,143217220,130,104932,215955,820228381,140100760,106829000,32947000,154242575
2219242.exe,221040,264525450,141167554,1398458,27609,145838,10653,53100,167056274,689217,165637491,688931,76109,1995215,523822795,115561,265961286,1270,143265756,129,105024,216099,818822406,141681991,114257000,27060000,155939799
2346376.exe,260955,266355743,141265426,1371470,27671,144423,10809,53300,164898109,700751,165826931,696693,78567,1998372,517201790,115439,270266071,1114,143188171,130,104950,213226,820159557,140398032,111075000,29019000,154676937
2806108.exe,183806,101613249,47351309,1024068,29458,134319,10717,44324,69205816,268489,69030325,267596,77732,1278449,344413183,111384,103118273,710,47793565,134,104278,281708,351508137,92884130,63383000,29176000,106919358
286654.exe,260539,266830919,141391165,1355342,26893,140905,10519,65735,164950283,507185,166223368,503411,79266,1983541,511714415,115362,270803500,1131,143403489,129,105260,216107,822154540,138149859,109793000,27947000,152468132
2920460.exe,247329,262916575,140839380,1426598,29411,147016,10067,56585,167069473,516678,165854471,512768,84546,2006663,520115050,115680,265886294,1183,142911216,130,104839,470161,817320348,141318765,118028000,23005000,155500279
302205.exe,330747,265079048,138928296,1436970,24649,144677,21613,76237,163677326,539971,169036468,543913,134413,2246971,517386252,108870,286352656,2246,151267639,325,98201,478402,852430599,139912004,106371000,33115000,154452162
3135280.exe,175463,67311499,30154307,469743,20130,79739,2779,11794,51752963,23103,51840088,23507,65478,505916,96871051,4211,75326999,280,33082910,136,1222,3569,258665694,26654756,25328000,1013000,41038077
3439806.exe,228135,267330630,141409614,1361567,27696,139722,8897,61610,164669421,536133,165764131,537936,90701,1971421,512325748,114240,270229211,1121,143230249,129,106187,211563,821319035,138799594,95292000,43132000,153009980
346060.exe,157086,67586709,30173776,450312,20002,81811,4097,17236,50786996,25925,51116249,23177,59986,470883,95719244,3551,75137843,219,33084559,135,1168,3250,258397855,26082706,23726000,1977000,40096607
3974796.exe,216169,267249680,140892291,1375683,27647,140299,9435,68382,166126272,549134,166815844,541586,103289,2048186,514844314,115039,271253683,1071,143694837,130,105314,213286,823479821,139059869,101507000,37185000,153328125
4656783.exe,454876,280638637,151380580,3571460,36870,474787,11234,58107,168334213,511721,168618706,506147,116955,2128954,520692715,117818,273245162,1236,144790382,132,106965,214781,830498394,138690287,113286000,25063000,154522169
4925138.exe,160960,66261549,29820201,454905,20772,82402,2570,11072,51641888,24202,51558350,22218,49118,481408,95829134,3988,74534072,225,32814254,136,1566,3499,258442689,26593671,25312000,1012000,40951910
5013886.exe,223464,245142841,126122188,954367,23759,113821,5100,32019,149904419,311641,150053565,330986,114151,1386845,278345686,10662,255461230,676,136107888,324,2371,7694,749386098,75272168,72807000,1994000,89483008
5293957.exe,228736,261678353,141155969,1379373,27494,144309,9314,54470,166469734,502565,165320891,504358,81031,2016090,523299006,116094,263758368,1349,143225780,129,105453,215122,815089489,141839333,114467000,27110000,155931914
640956.exe,274906,263283641,141034141,1346627,26072,143212,10864,61313,165708960,581668,166434617,578611,112078,2124902,516552859,115541,267839286,1187,143424412,129,104977,216490,820919812,139383960,117957000,20992000,153681632
668883.exe,233678,263483364,140935043,1361708,27494,146035,9301,57775,165099514,580919,165731812,576467,85098,2045226,516032645,115898,267853752,1132,143506465,130,105118,218453,820576665,139362050,105760000,33238000,153827195
81481.exe,237899,263275353,141168732,1353549,27267,145432,10091,64131,164776771,502833,165787009,499055,83279,1998764,510699286,114524,267856651,1106,143449842,128,105064,215129,821601188,138994085,106744000,31923000,153259783
