@relation problema-weka.filters.unsupervised.attribute.Remove-R2-5

@attribute pkg numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.44,148601568,118220000,30056000,0
0.3,24947949,23944000,997000,0
1.51,129942459,96949000,32982000,0
1.51,130793603,108819000,21963000,0
1.72,132790955,103585000,28884000,0
0.96,90686602,67735000,22910000,0
1.53,130911609,104873000,25968000,0
1.54,130878171,94895000,35960000,0
1.48,127794719,100827000,26953000,0
0.31,25133272,24120000,1005000,0
1.53,130761472,112649000,18104000,0
0.31,25085163,22985000,1998000,0
1.53,131979425,97980000,33993000,0
1.53,130496631,99607000,30878000,0
0.31,24905371,23911000,996000,0
0.88,67868582,65851000,1995000,0
0.31,24684271,21707000,2960000,0
1.5,130214292,103167000,27043000,0
1.52,130027503,106019000,24004000,0
1.51,129923177,87615000,42297000,0
0.48,46992254,45741000,994000,1
1.88,201304103,200161000,1000000,1
3.49,372773146,371755000,999000,1
0.3,28992373,27082000,1934000,1
0.49,47723888,46713000,993000,1
3.45,373440439,371372000,1996000,1
0.46,46519879,45510000,1011000,1
0.49,47149593,46067000,1001000,1
0.26,30225703,29216000,1007000,1
0.43,46380663,46264000,0,1
0.44,46802390,45801000,995000,1
0.89,87225245,86223000,1002000,1
0.18,17427878,16399000,1024000,1
0.26,26246615,24215000,2017000,1
0.46,48986734,47862000,997000,1
3.3,374540448,373360000,1000000,1
0.47,45217094,44202000,1004000,1
0.49,48676037,46677000,1986000,1
0.46,45044352,43925000,998000,1
0.23,22876431,20937000,1903000,1
0.4,39026659,33944000,4849000,2
0.42,34291482,29268000,4878000,2
0.39,32207167,30252000,1951000,2
0.83,65011300,62968000,2031000,2
0.41,33196843,31096000,2006000,2
0.41,34422094,33401000,1012000,2
0.86,67909426,61898000,5990000,2
0.8,64011586,61988000,1999000,2
0.42,34173950,32042000,2002000,2
0.46,36699690,36721000,0,2
0.84,65910185,63892000,1996000,2
0.83,67062388,64034000,3001000,2
0.39,32710419,30720000,1981000,2
0.8,63794910,60767000,2988000,2
0.83,64692440,59686000,4973000,2
0.75,67325030,65310000,2009000,2
0.79,64006046,63001000,1000000,2
0.44,38279716,30210000,8056000,2
0.9,82238283,75111000,7010000,2
0.75,68874629,67869000,998000,2
2.67,253360242,189772000,63257000,3
3.14,281363257,223180000,58047000,3
1.26,112659905,101550000,11059000,3
3.17,285239249,216154000,69049000,3
3.1,303729924,250682000,52932000,3
1.71,143251788,139223000,4006000,3
1.04,95169745,91105000,4004000,3
3.2,284462710,217324000,67100000,3
3.18,282986119,224963000,57990000,3
0.92,93029019,86088000,6926000,3
1.04,95073249,92030000,3001000,3
0.98,90315718,85174000,5010000,3
2.42,226979697,174885000,51965000,3
1.14,103820098,95808000,7984000,3
1.07,96035289,91005000,5000000,3
3.21,285197756,229133000,56032000,3
1.09,97716966,92474000,4971000,3
3.2,284676685,229712000,54931000,3
0.93,84354482,77183000,7016000,3
2.44,226400245,160255000,66105000,3
1.99,223371194,73701000,10096000,4
2.72,223754315,128890000,10069000,4
2.03,185541544,86616000,13941000,4
1.15,112295219,102247000,10024000,4
1.08,105514991,98463000,6962000,4
2.17,194511735,95261000,14038000,4
1.11,108020065,99987000,7999000,4
1.23,123210916,112171000,11016000,4
2.6,228548849,134370000,8208000,4
2.77,262655490,167946000,9450000,4
2.01,171932808,73829000,10974000,4
1.87,162523942,155515000,6978000,4
1.88,165548701,71592000,8066000,4
1.96,170271756,72840000,11973000,4
2.26,205923734,109691000,11403000,4
1.89,170958072,72199000,13036000,4
2.68,224721266,133912000,4996000,4
2.17,197557005,102488000,10047000,4
2.31,215944606,118968000,12098000,4
1.92,171092316,78693000,7062000,4
2.17,221386308,81875000,9357000,5
2,172458357,76120000,12018000,5
1.96,169243112,71156000,13028000,5
1.46,140883656,134770000,5989000,5
2.7,232720224,133624000,14326000,5
3.28,283438125,181725000,17068000,5
1.95,171113785,72457000,14242000,5
2.9,250654324,155112000,10440000,5
1.91,167866598,74807000,7979000,5
1.56,155882037,150831000,5027000,5
1.58,156970733,147942000,8996000,5
2.84,271265387,259125000,12005000,5
1.91,164609781,72950000,6995000,5
2.01,174761131,75189000,16040000,5
2.64,228313115,138115000,5004000,5
1.57,155280867,146232000,9014000,5
1.8,153973286,61552000,7020000,5
1.97,171636771,76755000,10099000,5
2.07,181822754,85059000,12465000,5
1.93,169508664,74836000,8980000,5
2.37,226011778,85433000,10804000,6
0.98,78397687,72343000,6028000,6
3.14,296755665,284720000,11988000,6
2.56,200413748,196297000,4006000,6
0.87,70958793,65937000,4995000,6
